latitude,longitude,OBJECTID,CECPlantID,PlantName,Retired_Plant,OperatorCompanyID,County,Capacity_Latest,Units,PriEnergySource,StartDate
34.168500653,-118.095134403,3152,G0762,St Luke Medical Center,1,St Luke Medical Center,Los Angeles,1,1,NG,"Sun, 01 Jan 1984 00:00:00 GMT"
34.475207664,-120.205105444,3172,G0453,Point Arguello Pipeline Co.(Gaviota) (Retired 12/31/2019),1,Freeport-McMoRan Oil & Gas,Santa Barbara,17.5,"GENA, GENB, GENC, GEND, GENE",NG,"Tue, 01 Dec 1987 00:00:00 GMT"
34.477125232,-120.128295991,3173,E0095,MM Tajiguas Energy LLC,1,OPAL Fuels,Santa Barbara,3.05,Unit 1,LFG,"Tue, 01 Aug 2000 00:00:00 GMT"
34.3555118460001,-119.422797298,3177,G0643,Rincon Facility (Retired 12/31/2005),1,Dos Cuadras Offshore Resources LLC,Ventura,3,GEN1,NG,"Sun, 01 Mar 1992 00:00:00 GMT"
34.4007967740001,-118.997903951,3178,E0256,Toland Road Landfill (Ventura) (Retired 6/1/2019),1,Ventura Regional Sanitation District,Ventura,2.25,1,LFG,"Wed, 01 Jul 2009 00:00:00 GMT"
34.4637093630001,-118.593544274,3183,G0157,"Pitchess Cogeneration Station (Retired November 2, 2018)",1,County of Los Angeles,Los Angeles,28.75,"CTG, STG",NG,"Fri, 31 Jul 1987 00:00:00 GMT"
34.3814881490001,-118.500456756,3185,G0006,CES Placerita Inc.  (CESP) - Retired December 2010,1,Clean Energy Systems Inc,Los Angeles,120,"UNIT 1, UNIT 2, UNIT 3",NG,"Wed, 01 Jun 1988 00:00:00 GMT"
34.731386484,-118.13855869,3289,S0117,Sierra SunTower- Retired 12/31/14,1,eSolar Inc,Los Angeles,7.5,Unit 1,SUN,"Wed, 22 Jul 2009 00:00:00 GMT"
34.6038991820001,-117.336451689,3324,C0019,TXI Riverside Cement Power House (Shutdown March 2008),1,TXI Riverside Cement,San Bernardino,24,"GEN1, GEN2",BIT,"Wed, 01 Dec 1954 00:00:00 GMT"
34.860052206,-116.853581599,3358,G0767,Coolwater Generating Station (Retired 1/15/2015),1,GenOn Holdings Inc.,San Bernardino,726.66,"CLW-1, CLW-2, CLW-3-CT1, CLW-3-CT2, CLW-3-ST, CLW-4-CT1, CLW-4-CT2, CLW-4-ST",NG,"Thu, 15 Jun 1961 00:00:00 GMT"
34.8687770350001,-116.827971367,3361,S0069,SEGS I  - Retired 12/31/2015,1,Sunray Energy Inc,San Bernardino,13.8,UNIT 1,SUN,"Sat, 01 Dec 1984 00:00:00 GMT"
34.8628401870001,-116.82511283,3362,S0070,SEGS II - Retired 12/31/2015,1,Sunray Energy Inc,San Bernardino,30,Unit 1,SUN,"Sun, 01 Dec 1985 00:00:00 GMT"
34.9442255870001,-120.457958159,3364,G0056,Santa Maria Cogen Plant (Retired 12/31/2013 per CAISO),1,Santa Maria Cogeneration Inc,Santa Barbara,9,GEN 1,NG,"Thu, 01 Jun 1989 00:00:00 GMT"
35.05358274,-118.360219495,3381,W0262,Windland Inc Boxcar I,1,See WPRS for details,Kern,7.46,WPRS 1,WND,"Wed, 29 Dec 1982 00:00:00 GMT"
35.102474525,-118.338871222,3386,W0275,85A (Zond Systems  Inc - 6043),1,Not Available,Kern,14.13,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.101697938,-118.333691992,3387,W0276,85B (Zond Systems  Inc - 6044),1,Not Available,Kern,21.15,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.047217393,-118.357582968,3389,W0301,Windland Inc Boxcar II,1,See WPRS for details,Kern,7.81,WPRS 1,WND,"Fri, 01 Jan 1982 00:00:00 GMT"
35.066226898,-118.384653956,3390,W0304,Victory Gardens IV (6103),1,Not Available,Kern,20.69,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.092535787,-118.355972442,3391,W0306,Terra-Gen 251 Wind (Zond Monolith X),1,Not Available,Kern,16.91,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.058009041,-118.34188171,3399,W0266,CTV Management Group - 6029 - Merged with W0463 - 12/31/2015,1,See WPRS for details,Kern,5.04,WPRS 1,WND,"Tue, 03 Jun 2014 00:00:00 GMT"
35.058009041,-118.34188171,3400,W0280,CTV Management Group - Merged with W0463 - 12/31/2015,1,See WPRS for details,Kern,1.84,WPRS 1,WND,"Fri, 01 Jan 1982 00:00:00 GMT"
35.057488865,-118.3476996,3401,W0285,Windridge Project (Retired 5/31/2015),1,Aero Energy LLC,Kern,4.5,WPRS 1,WND,"Fri, 01 Jan 1982 00:00:00 GMT"
35.077550651,-118.375127399,3402,W0294,CTV Management Group - 6089 - Merged with W0263 - 12/31/2015,1,Coram Energy Group Ltd,Kern,4.36,WPRS 1,WND,"Fri, 01 Jan 1982 00:00:00 GMT"
35.0905564810001,-118.394100022,3403,W0429,Helzel & Schwarzhoff 88 (Decommissioned 3/31/2016),1,See WPRS for details,Kern,1.5,WPRS 1,WND,"Sat, 24 Dec 1983 00:00:00 GMT"
35.0432894670001,-118.278923959,3411,W0259,Mogul Energy,1,See WPRS for details,Kern,4,WPRS 1,WND,"Thu, 24 Jun 1982 00:00:00 GMT"
35.066285282,-118.267783717,3415,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),1,FPL Energy Operating Services Inc,Kern,23.5,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.050089647,-118.280176147,3433,W0443,Mojave 4,1,See WPRS for details,Kern,29,WPRS 1,WND,"Tue, 01 Jan 1985 00:00:00 GMT"
35.0504435030001,-118.285312611,3434,W0444,Mojave 5,1,See WPRS for details,Kern,22.5,WPRS 1,WND,"Mon, 21 Feb 2011 00:00:00 GMT"
35.0896915160001,-118.286471691,3435,W0376,Difwind VIII - Retired 8/14/2014,1,See WPRS for details,Kern,14.9,WPRS 1,WND,"Thu, 01 Jan 1987 00:00:00 GMT"
35.0321369590001,-117.701460112,3444,G0366,Lake Shore Mojave  LLC (Retired 8/2013),1,Energy Operations Group,Kern,55,Unit 1,NG,"Tue, 12 Jun 1990 00:00:00 GMT"
35.0066906920001,-117.555717453,3446,S0071,SEGS III (Retired 6/30/2021),1,Luz Solar Partners Ltd III,San Bernardino,34.2,GEN1,SUN,"Thu, 18 Dec 1986 00:00:00 GMT"
35.0123702220001,-117.555678993,3447,S0072,SEGS IV (Retired 6/30/2021),1,Luz Solar Partners Ltd IV,San Bernardino,34.2,GEN1,SUN,"Thu, 18 Dec 1986 00:00:00 GMT"
35.0194804430001,-117.555520664,3448,S0074,SEGS V (Retired 6/30/2021),1,Luz Solar Partners Ltd V,San Bernardino,34.2,GEN1,SUN,"Tue, 29 Sep 1987 00:00:00 GMT"
35.020494469,-117.566056979,3449,S0075,SEGS VI (Retired 6/30/2021),1,Luz Solar Partners Ltd VI,San Bernardino,35,GEN1,SUN,"Sun, 25 Dec 1988 00:00:00 GMT"
35.0146473610001,-117.566160121,3450,S0076,SEGS VII (Retired 6/30/2021),1,Luz Solar Partners Ltd VII,San Bernardino,35,GEN1,SUN,"Thu, 29 Dec 1988 00:00:00 GMT"
35.0314656900001,-117.356517994,3452,S0077,SEGS VIII,1,Luz Solar Partners Ltd VIII,San Bernardino,92,GEN1,SUN,"Fri, 01 Dec 1989 00:00:00 GMT"
35.276197086,-119.598725115,3460,G0601,North Midway Cogeneration Plant - Retired 2014,1,Chevron North America Exploration and Production,Kern,10.74,"7, 8, 9",NG,"Wed, 01 Oct 1986 00:00:00 GMT"
35.2122317970001,-119.605763181,3462,G0031,Oxford Cogeneration Facility (Shutdown 12/2006),1,Aera Energy LLC,Kern,15.6,"1, 2, 3",NG,"Wed, 19 Sep 1984 00:00:00 GMT"
35.19419299,-119.570909391,3463,G0355,Mid-Set Cogeneration (Retired 12/31/2016),1,Mid-Set Cogeneration Facility,Kern,39.1,K100,NG,"Fri, 19 May 1989 00:00:00 GMT"
35.230853218,-119.624307459,3464,G0357,MMC Mid-Sun  LLC (Dismantled 4/1/2009),1,MMC Energy Inc,Kern,23,1,NG,"Fri, 26 Jan 2007 00:00:00 GMT"
35.1330114400001,-114.595927061,3503,C0024,Mohave Generating Station (Nevada) - Retired December 2005,1,Southern California Edison (SCE),Clark,1636.2,"Unit 1, Unit 2",SUB,"Fri, 01 Jan 1971 00:00:00 GMT"
35.3719456740001,-120.856969959,3505,G0371,Morro Bay Power Plant (Retired Feb 05 2014),1,LSP Morro Bay LLC,San Luis Obispo,912,"1, 2, 3, 4",NG,"Sun, 01 Jul 1956 00:00:00 GMT"
35.419007003,-119.008290037,3518,G0409,Oildale (Retired 1/05/2016),1,Oildale Energy LLC,Kern,40,ODC1,NG,"Fri, 07 Jun 1985 00:00:00 GMT"
35.4204892670001,-118.964461511,3519,G0556,Weir Cogeneration Plant (shutdown) - Retired December 2006,1,Aera Energy LLC,Kern,3.5,1,NG,"Sun, 19 Jun 1988 00:00:00 GMT"
35.454846295,-119.003528881,3520,G0595,A Fee Cogeneration Plant - Retired 2011,1,Chevron North America Exploration and Production,Kern,7.46,"GEN1, GEN2",NG,"Sun, 01 Jun 1986 00:00:00 GMT"
35.454846477,-119.002584336,3521,G0596,B Fee Cogeneration Plant - Retired 2011,1,Chevron North America Exploration and Production,Kern,3.73,GEN1,NG,"Fri, 01 May 1987 00:00:00 GMT"
35.4548820910001,-119.002106559,3522,G0597,C Fee Cogeneration Plant - Retired 2011,1,Chevron North America Exploration and Production,Kern,8.48,"GEN1, GEN2",NG,"Sun, 01 Feb 1987 00:00:00 GMT"
35.576473935,-119.005989175,3574,C0016,Mt. Poso Cogeneration - Retired November 2011,1,Mt Poso Cogeneration Co,Kern,63.6,S/N 412585,BIT,"Thu, 01 Sep 1988 00:00:00 GMT"
35.5472819730001,-119.075220227,3575,C0022,Rio Bravo Poso (Retired 2/12/2015),1,IHI Power Services Corp,Kern,33,1,BIT,"Fri, 01 Sep 1989 00:00:00 GMT"
35.7415175400001,-119.051288591,3606,C0018,Rio Bravo Jasmin (Retired 1/20/2016),1,IHI Power Services Corp,Kern,33,Unit 1,BIT,"Fri, 01 Sep 1989 00:00:00 GMT"
35.7637751030001,-117.378497583,3609,C0001,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),1,ACE Cogeneration Co,San Bernardino,108,GEN 1,PC,"Sat, 01 Dec 1990 00:00:00 GMT"
35.9359830160001,-120.840527579,3617,G0547,Sargent Canyon Cogeneration (retired 3/31/2017),1,Sargent Canyon Cogeneration Co,Monterey,38.2,18C052,NG,"Wed, 01 Jan 1992 00:00:00 GMT"
36.1900636980001,-120.355931752,3641,G0131,Coalinga Cogeneration Facility (38.4 MW) (Retired 12/31/2016),1,Coalinga Cogeneration Facility,Fresno,38.4,K100,NG,"Sat, 22 Feb 1992 00:00:00 GMT"
36.183170042,-120.153930543,3643,G0906,Wellhead Power Gates LLC (Retired 2012),1,Wellhead Power Panoche LLC/Gates LLC,Fresno,46.5,1,NG,"Thu, 27 Dec 2001 00:00:00 GMT"
