Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status
CIERVO MOUNTAIN HYBRID,1955,4/6/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,127.37,127.57,,125,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Excelsior 115 kV,12/1/2025,12/31/2027,,NA,Complete,,NA,,,,36.736988788099204,-119.7613204,6,19,2409.292097874372,0
CLARKSON,1956,4/8/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,203.659,203.849,,200,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,6/1/2025,10/10/2033,,NA,Complete,,NA,,,,36.741446165270546,-119.7838816,6,19,1852.897675030315,1
SPIKES PEAK SOLAR,1958,4/9/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,158.9783,158.5678,,150,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Quinto 230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,,,37.274041433126456,-120.6155919,6,47,1962.9532842515582,0
CORNUCOPIA HYBRID,1959,4/12/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,300.951,303.678,,300,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Gates-Templeton 230 kV Line,6/16/2025,1/30/2028,,NA,Complete,,NA,,,,36.72596091182745,-119.7565082,6,19,654.5302727278677,0
LAS CAMAS 4,1960,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,101,,,100,,,,Full Capacity,,,,merced,CA,PGAE,Fresno,Los Banos 230 kV,5/7/2025,5/7/2025,,NA,Complete,,NA,,,,37.27210181607233,-120.6184632,6,47,1544.8998978162413,0
LOCK STORAGE,1962,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,508,,,500.01,,,,Full Capacity,,,,fresno,CA,PGAE,Fresno,Gates 500 kV,11/30/2025,4/1/2028,,NA,Complete,,NA,,,,36.735033025720696,-119.7697435,6,19,1364.9492924184178,0
ALMANDE ENERGY STORAGE,1963,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,256.29,,,250,,,,Full Capacity,,,,merced,CA,PGAE,Fresno,Wilson 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,37.28930037338146,-120.6283361,6,47,955.1243034231322,1
ORLEANS,1966,4/6/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,25.54,25.54,,25,,,,Full Capacity,,,,fresno,CA,PGAE,Fresno,Giffen 70 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,36.74821825468874,-119.7458983,6,19,460.9862139532018,1
PLUM,1968,4/15/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,1040,520,,1000,,,,Full Capacity,,Off-Peak Deliverability,,kings,CA,PGAE,Fresno,Gates 230 kV,12/10/2024,12/1/2027,,NA,Complete,,NA,,,,36.26532204390666,-119.7097021,6,31,2666.673292195272,0
YORKTOWN,1969,4/6/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,87.5,87.5,,85,,,,Full Capacity,,,,kings,CA,PGAE,Fresno,Corcoran 70 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,36.27233860677205,-119.7441225,6,31,1582.3317801358721,1
BUTTERCUP HYBRID SOLAR,1970,4/14/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,131.43,65.47,,130,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Le Grand 115 kV,11/30/2024,10/31/2025,,NA,Complete,,NA,,,,37.25893816584519,-120.6370215,6,47,1953.6541110436115,1
PEACEFUL HOLLOW BESS,1973,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,100,,,75,,,,Full Capacity,,,,fresno,CA,PGAE,Fresno,Tranquility 230kV,6/1/2024,9/1/2025,,NA,Complete,,NA,,,,36.760241052531995,-119.7561872,6,19,1100.2046059591157,1
TARRAGON HYBRID,1975,4/14/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,35.979,35.951,,35,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Crescent 70 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,36.74704669884019,-119.7488916,6,19,2822.3028010266694,0
VALETUDO ENERGY STOARGE,1977,9/30/2021,ACTIVE,C14,Storage,,,Battery,,,79.5871,,,75,,,,Full Capacity,,,,madera,CA,PGAE,Fresno,Chowchilla 115 kV,12/31/2022,6/1/2026,,NA,Complete,,NA,,,,37.034090039109785,-120.0270972,6,39,490.8555093735142,0
